Time,Packet (Hexadecimal),RSSI,SNR
27-01-2025 15:38:06,0x80 0x19 0x5b 0xb 0x26 0x80 0x7 0x0 0x2 0x4 0x2f 0xd1 0xc5 0x84,-49,5.25
27-01-2025 15:38:08,0x80 0x21 0x53 0xb 0x26 0x80 0x65 0x0 0x2 0xed 0x5d 0x3 0x5a 0x19 0xe2 0x45 0x45 0x3c 0x9 0x60 0x9e 0x65 0x5 0x30 0xfd 0xbe 0x53 0x22 0xf7 0x61 0xd8 0x18 0x25 0x13 0x77 0xbf 0xd3 0x9f 0x81 0xdc 0x8e 0x86 0x81 0x99 0xd2 0xf 0x7a,-89,6.0
27-01-2025 15:39:08,0x80 0x21 0x53 0xb 0x26 0x80 0x67 0x0 0x2 0xf3 0xf 0x43 0x1 0x4e 0xa0 0xfb 0x70 0x55 0xd6 0x3d 0x25 0x37 0x6e 0xfb 0x3f 0x25 0x8 0xdb 0x57 0xfd 0x72 0xfd 0x36 0xe4 0x7 0xc3 0xc7 0x1b 0x58 0xee 0xa7 0xe7 0x5e 0xe6 0xc 0xe 0xc8,-91,6.5
29-01-2025 15:50:23,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-157,15.5
29-01-2025 15:50:23,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-157,15.5
29-01-2025 15:50:24,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-157,15.5
29-01-2025 15:50:24,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-157,15.5
29-01-2025 15:50:24,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-157,15.5
29-01-2025 15:50:24,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-157,15.5
29-01-2025 15:50:24,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-157,15.5
29-01-2025 15:50:24,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-157,15.5
29-01-2025 15:50:24,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-157,15.5
29-01-2025 15:50:24,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-157,15.5
29-01-2025 15:50:25,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-157,15.5
29-01-2025 15:50:25,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-157,15.5
29-01-2025 15:50:25,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-157,15.5
29-01-2025 15:50:25,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-157,15.5
29-01-2025 15:50:25,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-157,15.5
29-01-2025 15:50:25,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-157,15.5
