Time,Packet (Hexadecimal),RSSI,SNR
29-01-2025 17:57:07,0x45 0x89 0x2 0x50 0xca 0xb0 0x14 0x1c 0x52 0xd5 0x8e 0xf 0xd1 0x83 0x50 0x9b 0xb5 0x5e 0xcf 0xfb 0x19,-126,-7.25
29-01-2025 17:57:08,0xf3 0x13 0x88 0xca 0x40 0x2a 0x8e 0x86 0xc8 0x4f 0x14 0x95 0x4b 0x19 0xc6 0x25 0x2f 0x88 0x2d 0x3 0xdb,-126,-7.0
29-01-2025 17:57:10,0x78 0x9c 0x73 0x45 0xd2 0xa5 0x1 0x9 0x47 0xc0 0x9b 0x1a 0xc4 0x96 0x4f 0xac 0xa0 0x1f 0x51 0x8d 0xc8,-124,-2.25
29-01-2025 17:57:10,0x81 0xc5 0xda 0x1c 0xb 0xfc 0x58 0x50 0x1e 0x99 0xc2 0x43 0x9d 0xcf 0x14 0xd7 0xf9 0x24 0xe 0x52 0x46,-125,-2.25
29-01-2025 17:57:13,0x14 0xb8 0x57 0x61 0xb6 0x81 0x25 0x2d 0x63 0xe4 0xbf 0x3e 0xe0 0xb2 0x63 0x48 0x84 0x61 0xab 0xcd 0xcc,-127,-8.5
29-01-2025 17:57:17,0xc5 0x9 0xe6 0xd0 0x47 0x30 0x94 0x9c 0xd2 0x55 0xe 0x8f 0x51 0x3 0xd0 0x1b 0x35 0x98 0x49 0x95 0x68,-126,-6.0
29-01-2025 17:57:18,0xb4 0xd8 0x37 0x1 0x16 0xe1 0x45 0x4d 0x3 0x84 0xdf 0x5e 0x80 0xd2 0x3 0xe8 0xe4 0x81 0xec 0x83 0xeb,-125,-3.0
29-01-2025 17:57:22,0x11 0xb5 0x4a 0x6c 0xbb 0x8c 0x28 0x20 0x6e 0xe9 0xb2 0x33 0xed 0xbf 0x64 0x47 0x89 0xfd 0x52 0x70 0x2f,-125,-1.25
29-01-2025 17:57:23,0xaf 0xef 0x28 0x36 0xff 0xd6 0x72 0x7a 0x34 0xb3 0xe8 0x69 0xb7 0xe5 0x3a 0x81 0xd3 0x28 0x2a 0x13 0xb8,-126,-5.0
29-01-2025 17:57:23,0xef 0x2f 0xc0 0xf6 0x21 0x16 0xb2 0xba 0xf4 0x73 0x28 0xa9 0x77 0x25 0xfa 0xc1 0x13 0xa2 0x42 0x14 0xe2,-123,0.25
